Occupation code,Occupation title,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,"52,290",1.7%,0.367,$38.67,$38.25,"$79,560",0.5%
51-8011,Nuclear Power Reactor Operators,detail,"6,010",5.8%,0.042,$44.89,$45.36,"$94,350",1.3%
51-8012,Power Distributors and Dispatchers,detail,"12,110",3.1%,0.085,$39.67,$39.57,"$82,310",0.7%
51-8013,Power Plant Operators,detail,"34,170",2.1%,0.240,$37.10,$36.53,"$75,970",0.6%
51-8021,Stationary Engineers and Boiler Operators,detail,"32,790",2.0%,0.230,$28.79,$30.15,"$62,710",1.0%
51-8031,Water and Wastewater Treatment Plant and System Operators,detail,"117,450",1.0%,0.824,$22.19,$23.22,"$48,290",0.4%
51-8090,Miscellaneous Plant and System Operators,broad,"96,240",2.2%,0.675,$31.04,$31.21,"$64,920",0.7%
51-8091,Chemical Plant and System Operators,detail,"30,290",4.5%,0.212,$29.89,$29.63,"$61,620",1.1%
51-8092,Gas Plant Operators,detail,"14,890",3.6%,0.104,$33.19,$33.46,"$69,600",0.8%
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detail,"38,700",4.0%,0.272,$32.58,$32.78,"$68,190",1.2%
51-8099,"Plant and System Operators, All Other",detail,"12,360",3.6%,0.087,$27.08,$27.48,"$57,150",0.9%
51-9000,Other Production Occupations,minor,"2,584,880",0.6%,18.133,$15.63,$17.28,"$35,940",0.2%
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad,"126,320",1.9%,0.886,$21.21,$22.87,"$47,560",1.0%
51-9011,Chemical Equipment Operators and Tenders,detail,"77,870",2.4%,0.546,$22.98,$24.37,"$50,690",1.3%
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detail,"48,450",2.7%,0.340,$18.77,$20.45,"$42,540",1.1%
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,"191,200",1.5%,1.341,$16.87,$17.90,"$37,230",0.4%
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detail,"31,390",3.0%,0.220,$17.01,$17.90,"$37,220",0.7%
51-9022,"Grinding and Polishing Workers, Hand",detail,"30,320",3.3%,0.213,$13.86,$14.83,"$30,840",0.8%
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detail,"129,490",1.9%,0.908,$17.59,$18.62,"$38,730",0.5%
51-9030,Cutting Workers,broad,"72,690",2.0%,0.510,$15.70,$16.30,"$33,910",0.5%
51-9031,"Cutters and Trimmers, Hand",detail,"12,230",4.5%,0.086,$13.56,$14.60,"$30,360",1.1%
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detail,"60,460",2.2%,0.424,$16.16,$16.65,"$34,630",0.5%
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detail,"76,120",2.7%,0.534,$16.19,$17.03,"$35,430",0.6%
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detail,"18,030",3.0%,0.126,$18.07,$18.89,"$39,280",0.9%
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detail,"537,500",0.7%,3.771,$17.95,$19.73,"$41,040",0.4%
51-9071,Jewelers and Precious Stone and Metal Workers,detail,"25,710",4.1%,0.180,$18.25,$20.28,"$42,180",1.9%
51-9080,"Medical, Dental, and Ophthalmic Laboratory Technicians",broad,"79,370",1.9%,0.557,$16.95,$18.61,"$38,710",0.6%
51-9081,Dental Laboratory Technicians,detail,"35,630",2.8%,0.250,$18.59,$20.19,"$41,990",0.8%
51-9082,Medical Appliance Technicians,detail,"13,640",4.5%,0.096,$17.88,$19.45,"$40,460",1.1%
51-9083,Ophthalmic Laboratory Technicians,detail,"30,100",3.8%,0.211,$14.88,$16.36,"$34,030",1.1%
51-9111,Packaging and Filling Machine Operators and Tenders,detail,"392,910",1.4%,2.756,$14.11,$15.38,"$31,990",0.4%
51-9120,Painting Workers,broad,"152,510",1.2%,1.070,$17.31,$18.82,"$39,150",0.5%
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detail,"86,270",1.5%,0.605,$16.26,$17.15,"$35,670",0.5%
51-9122,"Painters, Transportation Equipment",detail,"52,880",2.0%,0.371,$20.12,$22.30,"$46,380",0.9%
51-9123,"Painting, Coating, and Decorating Workers",detail,"13,360",4.4%,0.094,$14.82,$15.91,"$33,090",0.9%
51-9141,Semiconductor Processors,detail,"23,540",5.4%,0.165,$17.59,$18.68,"$38,860",1.3%
51-9151,Photographic Process Workers and Processing Machine Operators,detail,"22,450",3.5%,0.157,$13.21,$15.80,"$32,870",1.8%
51-9190,Miscellaneous Production Workers,broad,"866,540",1.3%,6.079,$13.80,$15.25,"$31,720",0.4%
51-9191,Adhesive Bonding Machine Operators and Tenders,detail,"15,860",4.3%,0.111,$15.72,$16.65,"$34,630",1.2%
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detail,"17,410",4.6%,0.122,$14.40,$15.51,"$32,270",1.3%
51-9193,Cooling and Freezing Equipment Operators and Tenders,detail,"8,630",4.4%,0.061,$14.84,$16.15,"$33,590",1.5%
51-9194,Etchers and Engravers,detail,"8,620",5.2%,0.060,$14.85,$16.28,"$33,860",2.1%
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detail,"41,320",3.2%,0.290,$15.36,$16.25,"$33,810",0.7%
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detail,"94,620",2.0%,0.664,$18.22,$19.12,"$39,770",1.1%
51-9197,Tire Builders,detail,"21,910",8.2%,0.154,$19.34,$20.18,"$41,980",2.5%
51-9198,Helpers--Production Workers,detail,"402,140",2.0%,2.821,$12.54,$13.50,"$28,070",0.4%
51-9199,"Production Workers, All Other",detail,"256,050",2.9%,1.796,$13.89,$15.82,"$32,910",0.9%
53-0000,Transportation and Material Moving Occupations,major,"9,978,390",0.3%,70.000,$15.19,$17.82,"$37,070",0.4%
53-1000,Supervisors of Transportation and Material Moving Workers,minor,"403,620",0.6%,2.831,$25.82,$27.08,"$56,330",0.2%
53-1011,Aircraft Cargo Handling Supervisors,detail,"8,270",5.5%,0.058,$23.15,$25.47,"$52,970",2.6%
53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detail,"395,350",0.6%,2.773,$25.87,$27.11,"$56,400",0.2%
53-2000,Air Transportation Workers,minor,"273,950",3.7%,1.922,(4),(4),"$96,890",2.3%
53-2010,Aircraft Pilots and Flight Engineers,broad,"122,570",3.5%,0.860,(4),(4),"$138,690",3.5%
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detail,"84,070",4.9%,0.590,(4),(4),"$161,280",3.5%
53-2012,Commercial Pilots,detail,"38,490",3.1%,0.270,(4),(4),"$89,350",1.3%
53-2020,Air Traffic Controllers and Airfield Operations Specialists,broad,"32,380",1.9%,0.227,$46.62,$48.68,"$101,240",1.4%
53-2021,Air Traffic Controllers,detail,"22,790",1.7%,0.160,$59.87,$57.82,"$120,260",0.7%
53-2022,Airfield Operations Specialists,detail,"9,590",4.9%,0.067,$25.17,$26.95,"$56,060",2.1%
53-2031,Flight Attendants,detail,"119,000",5.2%,0.835,(4),(4),"$52,660",2.3%
53-3000,Motor Vehicle Operators,minor,"4,006,890",0.4%,28.109,$17.27,$18.37,"$38,210",0.2%
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detail,"15,310",5.6%,0.107,$11.66,$12.85,"$26,740",1.7%
53-3020,Bus Drivers,broad,"683,480",0.9%,4.795,$15.87,$16.83,"$35,000",1.1%
53-3021,"Bus Drivers, Transit and Intercity",detail,"176,140",1.8%,1.236,$19.61,$20.81,"$43,290",2.1%
53-3022,"Bus Drivers, School or Special Client",detail,"507,340",1.0%,3.559,$14.93,$15.45,"$32,130",0.5%
53-3030,Driver/Sales Workers and Truck Drivers,broad,"3,052,680",0.5%,21.415,$18.08,$19.13,"$39,790",0.2%
53-3031,Driver/Sales Workers,detail,"426,870",1.8%,2.995,$11.56,$13.99,"$29,090",0.7%
53-3032,Heavy and Tractor-Trailer Truck Drivers,detail,"1,748,140",0.6%,12.263,$20.42,$21.39,"$44,500",0.2%
53-3033,Light Truck or Delivery Services Drivers,detail,"877,670",0.7%,6.157,$15.12,$17.12,"$35,610",0.3%
53-3041,Taxi Drivers and Chauffeurs,detail,"198,470",1.5%,1.392,$11.96,$13.21,"$27,480",0.7%
53-3099,"Motor Vehicle Operators, All Other",detail,"56,950",3.2%,0.400,$12.81,$15.72,"$32,690",1.3%
53-4000,Rail Transportation Workers,minor,"117,940",5.7%,0.827,$29.03,$30.24,"$62,900",1.0%
53-4010,Locomotive Engineers and Operators,broad,"42,500",10.8%,0.298,$28.75,$30.72,"$63,890",1.2%
53-4011,Locomotive Engineers,detail,"35,680",9.7%,0.250,$29.32,$31.72,"$65,980",1.2%
53-4012,Locomotive Firers,detail,670,12.6%,0.005,$29.02,$29.91,"$62,220",4.6%
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detail,"6,140",23.4%,0.043,$24.11,$24.97,"$51,930",3.4%
53-4021,"Railroad Brake, Signal, and Switch Operators",detail,"14,190",7.7%,0.100,$27.53,$28.13,"$58,500",2.1%
53-4031,Railroad Conductors and Yardmasters,detail,"44,490",5.4%,0.312,$28.99,$30.47,"$63,370",1.5%
53-4041,Subway and Streetcar Operators,detail,"12,070",3.4%,0.085,$31.93,$30.75,"$63,950",3.4%
53-4099,"Rail Transportation Workers, All Other",detail,"4,690",9.4%,0.033,$28.21,$28.82,"$59,950",4.9%
53-5000,Water Transportation Workers,minor,"77,120",7.0%,0.541,$26.73,$31.59,"$65,720",1.9%
53-5011,Sailors and Marine Oilers,detail,"30,940",6.8%,0.217,$19.58,$22.38,"$46,560",3.4%
53-5020,Ship and Boat Captains and Operators,broad,"38,290",6.5%,0.269,$33.14,$37.82,"$78,670",2.1%
53-5021,"Captains, Mates, and Pilots of Water Vessels",detail,"35,780",6.9%,0.251,$34.10,$38.93,"$80,970",2.3%
53-5022,Motorboat Operators,detail,"2,510",8.5%,0.018,$21.44,$22.05,"$45,870",4.8%
53-5031,Ship Engineers,detail,"7,890",13.4%,0.055,$35.15,$37.48,"$77,970",2.5%
53-6000,Other Transportation Workers,minor,"367,320",1.3%,2.577,$11.77,$15.11,"$31,440",1.3%
53-6011,Bridge and Lock Tenders,detail,"3,240",3.6%,0.023,$24.15,$22.73,"$47,280",1.1%
53-6021,Parking Lot Attendants,detail,"145,400",2.2%,1.020,$10.97,$11.70,"$24,330",0.6%
53-6031,Automotive and Watercraft Service Attendants,detail,"118,850",1.9%,0.834,$11.24,$12.07,"$25,100",0.5%
53-6041,Traffic Technicians,detail,"6,980",3.6%,0.049,$21.96,$23.70,"$49,290",1.9%
53-6051,Transportation Inspectors,detail,"30,030",4.3%,0.211,$34.68,$35.44,"$73,720",1.6%
53-6061,"Transportation Attendants, Except Flight Attendants",detail,"24,360",8.5%,0.171,$13.38,$15.29,"$31,800",2.4%
53-6099,"Transportation Workers, All Other",detail,"38,460",3.8%,0.270,$17.67,$19.25,"$40,050",2.0%
53-7000,Material Moving Workers,minor,"4,731,550",0.5%,33.192,$13.13,$14.58,"$30,320",0.2%
53-7011,Conveyor Operators and Tenders,detail,"26,570",3.4%,0.186,$15.53,$16.58,"$34,480",0.9%
53-7021,Crane and Tower Operators,detail,"43,660",2.8%,0.306,$25.10,$26.78,"$55,690",1.0%
53-7030,"Dredge, Excavating, and Loading Machine Operators",broad,"49,190",2.4%,0.345,$20.65,$22.60,"$47,010",0.8%
53-7031,Dredge Operators,detail,"1,410",27.8%,0.010,$20.78,$22.28,"$46,340",3.2%
53-7032,Excavating and Loading Machine and Dragline Operators,detail,"45,450",2.3%,0.319,$20.43,$22.49,"$46,780",0.8%
53-7033,"Loading Machine Operators, Underground Mining",detail,"2,340",12.3%,0.016,$25.20,$24.89,"$51,780",2.5%
53-7041,Hoist and Winch Operators,detail,"3,080",9.6%,0.022,$20.77,$26.40,"$54,910",6.5%
53-7051,Industrial Truck and Tractor Operators,detail,"570,300",1.1%,4.001,$16.17,$17.00,"$35,370",0.3%
53-7060,"Laborers and Material Movers, Hand",broad,"3,859,520",0.6%,27.075,$12.35,$13.73,"$28,550",0.2%
53-7061,Cleaners of Vehicles and Equipment,detail,"373,290",1.1%,2.619,$11.23,$12.39,"$25,770",0.7%
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detail,"2,711,320",0.7%,19.020,$13.00,$14.28,"$29,690",0.2%
53-7063,Machine Feeders and Offbearers,detail,"74,350",2.8%,0.522,$13.70,$14.76,"$30,710",0.7%
53-7064,"Packers and Packagers, Hand",detail,"700,560",1.9%,4.915,$11.27,$12.22,"$25,410",0.4%
53-7070,Pumping Station Operators,broad,"26,260",4.6%,0.184,$24.16,$24.84,"$51,660",1.2%
53-7071,Gas Compressor and Gas Pumping Station Operators,detail,"3,560",6.9%,0.025,$30.20,$29.79,"$61,960",1.3%
53-7072,"Pump Operators, Except Wellhead Pumpers",detail,"11,500",9.0%,0.081,$20.91,$22.62,"$47,040",1.8%
53-7073,Wellhead Pumpers,detail,"11,200",5.2%,0.079,$25.13,$25.54,"$53,120",1.8%
53-7081,Refuse and Recyclable Material Collectors,detail,"115,130",1.6%,0.808,$17.39,$18.71,"$38,920",1.1%
53-7111,Mine Shuttle Car Operators,detail,"1,550",7.5%,0.011,$27.35,$27.17,"$56,510",1.5%
53-7121,"Tank Car, Truck, and Ship Loaders",detail,"10,300",13.1%,0.072,$17.72,$19.37,"$40,290",2.5%
53-7199,"Material Moving Workers, All Other",detail,"25,990",4.0%,0.182,$14.23,$17.13,"$35,620",1.7%
